Timestep,Glucose,Insulin
0,398.18816,0.009951465
1,394.65549,0.032308347
2,388.11673,0.064975851
3,377.66179,0.10608608
4,362.80479,0.15385683
5,343.51044,0.20660431
6,320.1898,0.26266008
7,293.63728,0.3204356
8,264.92583,0.37838241
9,235.26248,0.43508827
10,205.8427,0.48925461
11,177.71836,0.53979473
12,151.71007,0.58579956
13,128.36366,0.62661392
14,107.95556,0.66177499
15,90.528772,0.69106107
16,89.316337,0.71456588
17,91.680938,0.73292638
18,87.526041,0.74689891
19,92.292094,0.7571322
20,86.520871,0.7641826
21,92.700056,0.76852719
22,85.949993,0.77057504
23,93.049844,0.77067683
24,85.628491,0.76913316
25,93.401092,0.76620164
26,85.454341,0.762103
27,93.775486,0.7570263
28,85.368742,0.75113348
29,94.17826,0.74456313
30,85.336335,0.73743389
31,94.608006,0.72984722
32,85.334972,0.72188987
33,95.061105,0.71363597
34,85.350237,0.70514881
35,95.533647,0.69648239
36,85.372409,0.68768274
37,96.022185,0.67878908
38,85.394729,0.66983474
39,96.523957,0.66084803
40,85.412361,0.65185297
41,97.03689,0.64286986
42,85.421762,0.63391585
43,97.559514,0.62500538
44,85.420272,0.61615057
45,98.090851,0.60736153
46,85.405849,0.59864668
47,98.630321,0.59001299
48,85.376887,0.58146616
49,99.177653,0.57301085
50,86.174362,0.56466067
51,99.12662,0.55642272
52,86.566599,0.54829152
53,99.353431,0.54027354
54,87.180434,0.53236761
55,99.411636,0.52458187
56,87.643988,0.5169075
57,99.564753,0.50935347
58,88.17716,0.50191095
59,99.656761,0.49459053
60,88.648688,0.48737934
61,99.780343,0.48028933
62,89.1367,0.47330631
63,99.880346,0.46644393
64,89.594426,0.45968532
65,99.989762,0.4530457
66,90.05002,0.44650658
67,100.0889,0.44008485
68,90.486743,0.43375996
69,100.18965,0.42755043
70,90.914944,0.42143405
71,100.28494,0.41543099
72,91.328679,0.4095173
73,100.3791,0.40371471
74,91.731893,0.39799772
75,100.46961,0.39238964
76,92.122564,0.3868634
77,100.55808,0.38144384
78,92.502309,0.3761024
79,100.64361,0.37086545
80,92.870546,0.36570298
81,100.72683,0.36064281
82,93.228039,0.35565356
83,100.80746,0.35076447
84,93.574734,0.34594283
85,100.88575,0.34121925
86,93.91108,0.33655973
87,100.96164,0.33199623
88,94.237217,0.3274935
89,101.03525,0.3230848
90,94.553471,0.31873367
91,101.10659,0.31447465
92,94.860052,0.31027008
93,101.17575,0.30615574
94,95.157236,0.30209286
95,101.24275,0.29811838
96,95.445255,0.29419245
97,101.30767,0.29035315
98,95.724363,0.28655958
99,101.37055,0.28285092
100,95.994791,0.27918527
101,101.43145,0.27560287
102,96.256781,0.27206083
103,101.4904,0.26860045
104,96.51056,0.26517786
105,101.54747,0.26183538
106,96.756359,0.25852821
107,101.60271,0.25529966
108,96.994398,0.25210402
109,101.65615,0.24898553
110,97.224897,0.24589766
111,101.70786,0.24288552
112,97.448071,0.23990176
113,101.75787,0.23699238
114,97.664127,0.2341092
115,101.80623,0.23129909
116,97.873272,0.22851309
117,101.853,0.22579888
118,98.075706,0.22310677
119,101.8982,0.22048521
120,98.271625,0.21788378
121,101.94189,0.21535173
122,98.46122,0.21283792
123,101.98411,0.21039232
